   ,CUSTOMER_CODE,ORDER_COUNT,SALES_VALUE_LAKHS
1472,000000009007872,52,401.49
975,000000009001669,52,1398.54
651,000000009008682,52,1963.59
106,000000009013257,52,878.16
2016,000000009015398,52,1934.76
1562,000000009010986,51,473.4
1485,000000009014039,51,315.6
1915,000000009005171,51,2592.2
649,000000009000813,51,599.73
136,000000009000954,51,705.72
3473,000000009016408,51,23.16
2420,000000009000088,51,376.23
2347,000000009002564,51,39.57
1474,000000009000329,50,692.94
2907,000000009000629,50,302.52
2036,000000009009236,50,1145.91
204,000000009001034,50,234.23
3486,000000009002791,50,469.66
2080,000000009004523,50,1139.15
3365,000000009007832,50,645.66
2418,000000009000310,50,218.58
507,000000009002824,50,209.13
2465,000000009014615,50,285.91
1928,000000009002539,50,577.83
2492,000000009011522,50,383.93
2372,000000009002467,50,481.25
700,000000009000568,49,429.75
2421,000000009002427,49,223.64
222,000000009010517,49,554.11
600,000000009001165,49,1442.65
2824,000000009004579,49,796.89
3396,000000009000797,49,452.61
518,000000009002388,49,97.97
1979,000000009014612,49,1365.55
1023,000000009001145,49,609.72
51,000000009007148,49,880
1633,000000009000349,49,689
1456,000000009004505,49,539.48
1064,000000009000800,48,562.52
3518,000000009017007,48,921.23
1974,000000009001610,48,100.3
1106,000000009015950,48,208.94
2551,000000009015941,47,436.82
1500,000000009000066,47,613.47
3425,000000009001988,47,1109.77
2538,000000009015990,47,473.43
1079,000000009012335,47,1850.12
517,000000009009745,47,1472.06
3322,000000009002284,47,303.99
2588,000000009002092,47,129.96
54,000000009000772,47,827.97
2455,000000009001183,47,94.77
2521,000000009000157,47,1402.26
2010,000000009015994,47,738.5
190,000000009009412,46,372.72
1433,000000009000952,46,280.23
79,000000009002711,46,654.76
2553,000000009015927,46,317.06
1147,000000009004430,46,53.98
2888,000000009001744,46,487.63
1550,000000009015739,46,1314.42
1100,000000009009837,46,471.33
1155,000000009012107,45,3420.21
1142,000000009006426,45,205.91
2387,000000009013355,45,1094.01
2507,000000009001114,45,295.54
650,000000009006769,45,594.78
1069,000000009000105,45,348.13
1997,000000009010361,45,947.22
164,000000009001153,45,911.77
1956,000000009013397,45,2988.01
231,000000009009396,45,464.32
679,000000009001272,44,191.25
2835,000000009001152,44,54.97
3348,000000009000355,44,276.26
2039,000000009001377,44,321.74
602,000000009000955,44,154.95
1968,000000009013331,44,341.29
2590,000000009002217,44,397.26
2982,000000009016086,44,929.46
548,000000009008816,43,376.86
2064,000000009000490,43,65.06
1545,000000009008443,43,811.64
2927,000000009008660,43,486.3
2504,000000009011298,43,494.72
2576,000000009002724,43,501.91
2003,000000009015846,43,990.07
2437,000000009004467,43,298.66
2004,000000009002719,43,729.12
3454,000000009001093,43,214.86
2405,000000009002610,42,258.49
2501,000000009015361,42,430.1
2542,000000009017386,42,21.52
2436,000000009002270,42,40.79
3084,000000009000612,42,508.02
629,000000009006809,42,1180.88
94,000000009000360,42,493.51
655,000000009009984,42,1023.23
1056,000000009010814,41,384.84
3449,000000009012441,41,849.81
713,000000009006104,41,659.61
206,000000009000986,41,374.07
2467,000000009004437,41,392.82
3006,000000009016336,41,583.84
133,000000009008594,41,337.44
2555,000000009017640,41,13.63
1987,000000009008686,41,660.04
511,000000009001532,41,436.06
1950,000000009000719,41,1848.89
158,000000009016028,41,18.04
631,000000009014785,41,574.61
633,000000009001616,41,355.05
1884,000000009012582,41,38.24
1115,000000009016370,41,1015
1126,000000009011155,41,472.64
489,000000009000315,40,651.38
1052,000000009000487,40,71.48
2386,000000009001565,40,1109.23
3416,000000009000450,40,131.69
1538,000000009005206,40,1031.84
1143,000000009008435,40,600.56
2930,000000009006351,40,178.6
3467,000000009016002,40,736.57
3479,000000009015969,40,564.21
1544,000000009012798,40,395.96
606,000000009000951,40,186.43
3466,000000009002522,40,532.75
2917,000000009004937,39,174.2
86,000000009011785,39,889.41
3028,000000009016098,39,314.49
2430,000000009011656,39,1309.27
156,000000009016476,39,235.76
2042,000000009016757,39,1268.77
3407,000000009009746,39,867.31
3395,000000009013319,39,1481.02
1016,000000009001743,39,271.76
2394,000000009002120,39,239.76
1991,000000009006726,39,1221.51
1118,000000009013215,39,1083.19
1092,000000009013953,39,1803.61
2477,000000009015263,39,438.85
3475,000000009005518,38,381.96
2429,000000009011437,38,1016.63
2862,000000009002741,38,661.84
1995,000000009014694,38,1113.28
1886,000000009012528,38,435.58
3357,000000009002031,38,332.68
1045,000000009001468,38,69.45
632,000000009016625,38,13.25
3022,000000009004864,38,660.17
2981,000000009015954,38,511.57
1070,000000009013191,37,444.25
1138,000000009011251,37,184.05
2549,000000009017388,37,57.68
3380,000000009000129,37,365.89
2895,000000009007764,37,504.67
570,000000009014362,37,44.84
510,000000009010284,37,36.49
2069,000000009000978,37,437.57
1462,000000009002299,37,926.2
527,000000009001399,37,438.66
2892,000000009008726,37,637.46
1561,000000009001677,37,366.45
199,000000009017415,37,381.45
2867,000000009001232,37,416.29
1039,000000009005686,37,677.22
1105,000000009015853,37,110.97
1051,000000009009248,37,786.52
1919,000000009013295,37,391.03
2506,000000009001580,37,361.26
2483,000000009005915,37,871.31
1938,000000009001061,37,338.74
89,000000009010311,37,152.33
2929,000000009001438,37,788.84
2056,000000009001727,36,1543.96
640,000000009002808,36,698.56
3027,000000009014151,36,583.91
2909,000000009004506,36,2400.25
967,000000009000681,36,448.27
3496,000000009001054,36,314.83
2408,000000009008409,36,139.74
3434,000000009011178,36,218.54
1176,000000009001795,36,1017.53
2041,000000009005167,36,1589.39
2541,000000009004409,36,296.83
1519,000000009001202,35,167.3
1962,000000009006628,35,145.29
654,000000009002784,35,731.77
2936,000000009005618,35,524.11
3374,000000009005383,35,207.34
74,000000009005519,35,264.23
641,000000009014334,35,693.34
3343,000000009001943,35,21.18
3461,000000009005039,35,367.06
2048,000000009017582,34,1015.7
3617,000000009006338,34,485.58
2933,000000009011693,34,172.95
2018,000000009002387,34,530.27
582,000000009001389,34,342.78
2452,000000009000439,34,473.26
3345,000000009009378,34,2223.97
2474,000000009005261,34,1446.9
36,000000009000799,34,380.61
635,000000009001498,34,453.03
3511,000000009014035,34,442.96
1011,000000009013077,34,16.86
3026,000000009000707,34,405.66
141,000000009013636,34,32.45
1190,000000009000702,34,2009.01
1542,000000009004775,34,384.41
1890,000000009001623,33,783.57
2615,000000009013792,33,106.63
2013,000000009014451,33,300.75
217,000000009013669,33,338.78
235,000000009011487,33,601.27
2443,000000009000817,33,528.51
1077,000000009013239,33,493.67
223,000000009008610,33,869.28
2409,000000009001446,33,161.55
3458,000000009014377,33,1319.28
1151,000000009015877,33,515.01
3439,000000009015362,33,310.23
3589,000000009018258,33,1613.81
2948,000000009000010,33,782.03
188,000000009000064,33,290.7
